Training Time,Avg. rows,Columns,Accuracy,Precision,Recall,F1
1,184.033,57211,0.8468651133523274,0.369447843927723,0.9996104402025711,0.5395006570302234
2,184.033,57211,0.8462183845763926,0.36747685185185186,0.9894818854694195,0.5359215107078806
5,184.033,57211,0.8231284193599133,0.3365895233724513,1.0,0.5036542894982097
10,184.033,57211,0.8231284193599133,0.3365895233724513,1.0,0.5036542894982097
20,184.033,57211,0.8231284193599133,0.3365895233724513,1.0,0.5036542894982097
40,184.033,57211,0.8231284193599133,0.3365895233724513,1.0,0.5036542894982097
60,184.033,57211,0.8231284193599133,0.3365895233724513,1.0,0.5036542894982097
120,184.033,57211,0.8468651133523274,0.3694854264123785,1.0,0.5395974565137421
180,184.033,57211,0.8730139308874167,0.4139962870288159,0.9990261005064277,0.5854020430291617
300,184.033,57211,0.8231284193599133,0.3365895233724513,1.0,0.5036542894982097
